1521560131746,metadata_log_format,wifi-ble-imu-cell collection
1521560131747,metadata_system_time,1521560131747
1521560131747,metadata_surveyName,/storage/emulated/0/FIND-IT/log.csv
1521560131747,metadata_notes,new collection
1521560131747,metadata_deviceInfo,Boardmsm8952Brand,LenovoDevice,PB2PROHardware,qcomManufacturer,LENOVOModel,Lenovo PB2-690MProduct,phinny_row
83697493964737,latLngE7LastKnown,508187479,129302101,55.0,-1.0,0.0
83697494264946,label,1,latMapApp,0,longMapApp,0,floorMapApp,0
83697721783748,gyro,BMI160 Gyroscope -Wakeup Secondary,0.042312622,0.08177185,0.005584717,3
83697722071769,orientation,Orientation,144.44781,-13.207246,-0.18947661,1
83697722246873,linAccel,Linear Acceleration -Wakeup Secondary,0.14935142,0.050994158,5.979538E-4,3
83697722420727,rotVectorAll,Rotation Vector -Wakeup Secondary,0.0366733,-0.109007895,-0.9459959,0.3030909,0.5235988,3
83697722614269,rotVectorMagnetic,GeoMagnetic Rotation Vector,0.03469096,-0.111064374,-0.94449115,0.3072421,0.5235988,3
83697722804216,compass,AK09911 Magnetometer -Wakeup Secondary,-11.108398,-24.11499,-36.003113,1
83697722956612,accel,BMI160 Accelerometer -Wakeup Secondary,0.11683655,2.2973785,9.572662,3
83697723104321,rotVectorGyro,Game Rotation Vector -Wakeup Secondary,0.079999916,0.08262969,0.7036046,0.7012225,3
83697731288019,wifi,68:5d:43:78:4d:5d,bolatu,-69,f8:4f:57:bc:ad:8f,eduroam,-52,f8:4f:57:bc:ad:8e,lab,-51,f8:4f:57:bc:ad:81,lab,-50,f8:4f:57:bc:ad:80,eduroam,-49,f8:4f:57:bc:ad:87,tu-chemnitz.de,-51,f8:4f:57:bc:ad:88,tu-chemnitz.de,-49,f8:4f:57:bc:ad:82,,-50,f8:4f:57:bc:9f:6f,eduroam,-80,f8:4f:57:bc:9f:60,eduroam,-73,f8:4f:57:bc:9f:61,lab,-73,f8:4f:57:bc:9f:68,tu-chemnitz.de,-73,f8:4f:57:bc:41:8f,eduroam,-67,f8:4f:57:bc:9f:6d,,-81,f8:4f:57:bc:41:8d,,-67,f8:4f:57:bc:41:8e,lab,-68,f8:4f:57:bc:41:80,eduroam,-72,f8:4f:57:ca:9c:b1,lab,-77,f8:4f:57:bc:9f:67,tu-chemnitz.de,-80,f8:4f:57:bc:41:87,tu-chemnitz.de,-67,f8:4f:57:ca:9c:b7,tu-chemnitz.de,-79,f8:4f:57:bc:41:88,tu-chemnitz.de,-71,f8:4f:57:bc:9f:62,,-76,f8:4f:57:ca:9c:b2,,-77,f8:4f:57:ca:9c:b8,tu-chemnitz.de,-76,f8:4f:57:bc:41:81,lab,-72,f8:4f:57:bc:41:82,,-72,f8:4f:57:ca:9c:bd,,-81,f8:4f:57:ca:9c:be,lab,-80,f8:4f:57:ca:9c:bf,eduroam,-80,f8:4f:57:bc:9f:6e,lab,-80,f8:4f:57:ca:9c:b0,eduroam,-76,20:c9:d0:29:2f:4b,Macspace,-91,
