user,label,collection_datetime,device_timestamp,mag_x,mag_y,mag_z
ugur,1,2018-03-29 22:04:55,1715581698614,13.778687,11.885071,-38.13324
ugur,1,2018-03-29 22:04:55,1715525091427,14.543152,11.888123,-38.131714
ugur,1,2018-03-29 22:04:55,1715471994812,15.325928,11.854553,-40.26184
ugur,1,2018-03-29 22:04:55,1715417477573,13.041687,11.117554,-40.257263
ugur,1,2018-03-29 22:04:55,1715364594083,13.780212,12.591553,-39.561462
ugur,1,2018-03-29 22:04:55,1715311013719,13.790894,11.862183,-39.553833
ugur,1,2018-03-29 22:04:55,1715257058094,13.00354,12.612915,-38.142395
ugur,1,2018-03-29 22:04:55,1715203383354,14.530945,11.912537,-36.71112
ugur,1,2018-03-29 22:04:55,1715150287000,13.78479,11.87439,-38.842773
ugur,1,2018-03-29 22:04:55,1715096813667,13.749695,14.073181,-38.156128
ugur,1,2018-03-29 22:04:55,1715043034448,13.787842,12.579346,-40.270996
ugur,1,2018-03-29 22:04:55,1714988143927,11.486816,12.583923,-39.564514
ugur,1,2018-03-29 22:04:55,1714935901115,13.026428,11.859131,-39.553833
ugur,1,2018-03-29 22:04:55,1714879296531,10.713196,13.310242,-39.57367
ugur,1,2018-03-29 22:04:55,1714825718094,12.263489,12.562561,-40.985107
ugur,1,2018-03-29 22:04:55,1714770104865,12.997437,12.625122,-37.431335
ugur,1,2018-03-29 22:04:55,1714715695490,11.465454,13.336182,-38.15155
ugur,1,2018-03-29 22:04:55,1714660789448,12.226868,14.0563965,-38.868713
ugur,1,2018-03-29 22:04:55,1714605927886,12.974548,14.801025,-38.165283
ugur,1,2018-03-29 22:04:55,1714552771740,12.236023,13.327026,-38.861084
ugur,1,2018-03-29 22:04:55,1714499854709,12.213135,15.50293,-39.59503
ugur,1,2018-03-29 22:04:55,1714446290907,9.178162,13.316345,-38.86566
ugur,1,2018-03-29 22:04:55,1714394225959,10.675049,16.227722,-39.605713
ugur,1,2018-03-29 22:04:55,1714339400698,9.197998,11.857605,-38.850403
ugur,1,2018-03-29 22:04:55,1714282734552,7.6293945,14.057922,-38.163757
ugur,1,2018-03-29 22:04:55,1714228896948,8.375549,16.230774,-38.89923
ugur,1,2018-03-29 22:04:55,1714173729084,7.6400757,14.041138,-38.876343
ugur,1,2018-03-29 22:04:55,1714117333198,7.684326,11.11145,-39.55536
ugur,1,2018-03-29 22:04:55,1714064680698,6.9107056,11.837769,-39.564514
ugur,1,2018-03-29 22:04:55,1714011989500,6.1294556,12.576294,-38.86261
ugur,1,2018-03-29 22:04:55,1713958715438,5.3741455,13.267517,-41.003418
ugur,1,2018-03-29 22:04:55,1713905117625,6.135559,12.565613,-39.57367
ugur,1,2018-03-29 22:04:55,1713852097730,3.8742065,11.074829,-40.982056
ugur,1,2018-03-29 22:04:55,1713798878719,3.842163,12.5564575,-39.57672
ugur,1,2018-03-29 22:04:55,1713746571896,3.1036377,11.083984,-40.272522
ugur,1,2018-03-29 22:04:55,1713692957157,4.6066284,12.559509,-39.575195
ugur,1,2018-03-29 22:04:55,1713640363928,5.3619385,13.291931,-39.582825
ugur,1,2018-03-29 22:04:55,1713587587834,5.355835,13.304138,-38.871765
ugur,1,2018-03-29 22:04:55,1713534466167,3.8208008,13.310242,-38.163757
ugur,1,2018-03-29 22:04:55,1713479678355,5.342102,16.17279,-41.744995
ugur,1,2018-03-29 22:04:55,1713426644449,6.1172485,14.022827,-39.58893
ugur,1,2018-03-29 22:04:55,1713374565074,3.8223267,14.015198,-39.59198
ugur,1,2018-03-29 22:04:55,1713319921272,3.8360596,12.568665,-38.86566
ugur,1,2018-03-29 22:04:55,1713267851688,3.09906,11.801147,-40.99121
ugur,1,2018-03-29 22:04:55,1713213655751,1.5777588,10.360718,-39.556885
ugur,1,2018-03-29 22:04:55,1713159821949,0.8468628,9.580994,-42.391968
ugur,1,2018-03-29 22:04:55,1713105820959,2.3513794,11.056519,-41.69464
ugur,1,2018-03-29 22:04:55,1713052919449,3.8650513,11.804199,-40.989685
ugur,1,2018-03-29 22:04:55,1713000582418,3.8513184,11.827087,-39.56909
ugur,1,2018-03-29 22:04:55,1712946908772,3.8772583,10.357666,-40.263367
ugur,1,2018-03-29 22:04:55,1712893429918,6.1676025,11.0824585,-40.977478
ugur,1,2018-03-29 22:04:55,1712841318511,5.429077,9.608459,-41.67328
ugur,1,2018-03-29 22:04:55,1712789170595,4.6539307,10.336304,-41.682434
ugur,1,2018-03-29 22:04:55,1712736622782,3.868103,11.087036,-40.270996
ugur,1,2018-03-29 22:04:55,1712685035543,3.8742065,9.651184,-38.835144
ugur,1,2018-03-29 22:04:55,1712630700282,3.8482666,12.5442505,-40.286255
ugur,1,2018-03-29 22:04:55,1712575820230,4.614258,11.125183,-38.139343
ugur,1,2018-03-29 22:04:55,1712522300647,0.78430176,12.545776,-39.5813
ugur,1,2018-03-29 22:04:55,1712470565230,1.5609741,12.524414,-41.000366
ugur,1,2018-03-29 22:04:55,1712417672522,2.3040771,13.28125,-39.587402
ugur,1,2018-03-29 22:04:55,1712364773199,2.307129,12.564087,-38.868713
ugur,1,2018-03-29 22:04:55,1712309828355,0.03967285,11.08551,-39.56604
ugur,1,2018-03-29 22:04:55,1712257032470,-0.76293945,12.57782,-37.452698
ugur,1,2018-03-29 22:04:55,1712204114241,0.010681152,11.849976,-37.443542
ugur,1,2018-03-29 22:04:55,1712150894189,0.048828125,10.35614,-39.55841
ugur,1,2018-03-29 22:04:55,1712097124345,0.04119873,11.790466,-40.99579
ugur,1,2018-03-29 22:04:55,1712041467522,0.010681152,11.849976,-37.443542
ugur,1,2018-03-29 22:04:55,1711988326689,-1.4633179,8.18634,-38.116455
ugur,1,2018-03-29 22:04:55,1711935914137,-0.7293701,11.799622,-40.286255
ugur,1,2018-03-29 22:04:55,1711881764814,-1.5060425,11.820984,-38.867188
ugur,1,2018-03-29 22:04:55,1711826292522,0.022888184,11.827087,-38.864136
ugur,1,2018-03-29 22:04:55,1711774355960,0.8300781,8.19397,-38.113403
ugur,1,2018-03-29 22:04:55,1711721778876,1.6036987,8.8897705,-40.25116
ugur,1,2018-03-29 22:04:55,1711669150856,1.5686035,11.090088,-39.564514
ugur,1,2018-03-29 22:04:55,1711615424345,3.8909912,8.909607,-39.53705
ugur,1,2018-03-29 22:04:55,1711562132991,3.1417847,8.166504,-40.24048
ugur,1,2018-03-29 22:04:55,1711508612522,3.1417847,8.166504,-40.24048
ugur,1,2018-03-29 22:04:55,1711454262939,3.8970947,8.898926,-40.248108
ugur,1,2018-03-29 22:04:55,1711399857158,2.3651123,8.187866,-38.82141
ugur,1,2018-03-29 22:04:55,1711346546272,1.5808105,9.643555,-38.838196
ugur,1,2018-03-29 22:04:55,1711295116376,3.9138794,6.7337036,-38.8031
ugur,1,2018-03-29 22:04:55,1711243121897,2.368164,8.892822,-40.249634
ugur,1,2018-03-29 22:04:55,1711190743720,3.88031,11.062622,-41.69159
ugur,1,2018-03-29 22:04:55,1711137168981,1.5838623,10.348511,-40.26642
ugur,1,2018-03-29 22:04:55,1711083739606,0.08087158,8.872986,-40.963745
ugur,1,2018-03-29 22:04:55,1711031189866,0.8514404,8.863831,-41.67328
ugur,1,2018-03-29 22:04:55,1710978830491,0.83465576,9.605408,-40.96985
ugur,1,2018-03-29 22:04:55,1710926483408,-2.1972656,8.123779,-41.670227
ugur,1,2018-03-29 22:04:55,1710874753616,0.10223389,8.119202,-42.37671
ugur,1,2018-03-29 22:04:55,1710822832679,-0.6652832,8.834839,-43.095398
ugur,1,2018-03-29 22:04:55,1710770938200,0.869751,7.4050903,-41.656494
ugur,1,2018-03-29 22:04:55,1710717716273,-2.191162,8.111572,-42.37976
ugur,1,2018-03-29 22:04:55,1710663630491,-0.64086914,7.3638916,-43.7912
ugur,1,2018-03-29 22:04:55,1710609447366,-0.6713867,8.847046,-42.385864
ugur,1,2018-03-29 22:04:55,1710555439293,-2.1987915,9.547424,-43.81714
ugur,1,2018-03-29 22:04:55,1710501394189,0.1083374,9.53064,-45.23468
ugur,1,2018-03-29 22:04:55,1710447924606,1.6494751,8.088684,-44.50531
ugur,1,2018-03-29 22:04:55,1710394823304,1.6403198,7.395935,-42.366028
ugur,1,2018-03-29 22:04:55,1710341147471,1.6494751,8.088684,-44.50531
ugur,1,2018-03-29 22:04:55,1710286988721,3.17688,7.3898315,-43.074036
ugur,1,2018-03-29 22:04:55,1710234488200,3.1661987,9.541321,-45.228577
ugur,1,2018-03-29 22:04:55,1710180472731,2.4017334,9.538269,-45.230103
ugur,1,2018-03-29 22:04:55,1710125974762,3.1661987,9.541321,-45.228577
ugur,1,2018-03-29 22:04:55,1710070826064,3.1448364,12.42218,-47.392273
ugur,1,2018-03-29 22:04:55,1710016886117,2.3590088,13.172913,-45.980835
ugur,1,2018-03-29 22:04:55,1709963121898,3.0685425,16.835022,-45.307922
ugur,1,2018-03-29 22:04:55,1709909840335,0.04425049,13.919067,-44.570923
ugur,1,2018-03-29 22:04:55,1709856980023,0.021362305,16.09497,-45.30487
ugur,1,2018-03-29 22:04:55,1709802753304,1.5335083,16.841125,-44.599915
ugur,1,2018-03-29 22:04:55,1709747174606,0.77667236,15.403748,-43.16559
ugur,1,2018-03-29 22:04:55,1709693602002,0.7751465,16.825867,-45.3125
ugur,1,2018-03-29 22:04:55,1709639145752,0.0015258789,16.130066,-43.174744
ugur,1,2018-03-29 22:04:55,1709586118513,0.7797241,16.108704,-44.59381
ugur,1,2018-03-29 22:04:55,1709532217627,-0.0076293945,16.859436,-43.182373
ugur,1,2018-03-29 22:04:55,1709478863617,-0.7583618,15.411377,-42.45758
ugur,1,2018-03-29 22:04:55,1709427234971,0.7598877,16.145325,-42.46216
ugur,1,2018-03-29 22:04:55,1709374579502,-1.5335083,16.137695,-42.466736
ugur,1,2018-03-29 22:04:55,1709320702731,0.7736206,14.6987915,-41.73584
ugur,1,2018-03-29 22:04:55,1709266902940,0.77667236,13.981628,-41.018677
ugur,1,2018-03-29 22:04:55,1709215444763,1.5472412,13.972473,-41.726685
ugur,1,2018-03-29 22:04:55,1709161703513,0.038146973,12.507629,-41.71295
ugur,1,2018-03-29 22:04:55,1709108028148,2.305603,13.986206,-41.015625
ugur,1,2018-03-29 22:04:55,1709056082992,1.5609741,12.524414,-41.000366
ugur,1,2018-03-29 22:04:55,1709003326794,2.305603,13.986206,-41.015625
ugur,1,2018-03-29 22:04:55,1708947744502,3.074646,13.272095,-40.29541
ugur,1,2018-03-29 22:04:55,1708894340336,1.5197754,14.736938,-39.604187
ugur,1,2018-03-29 22:04:55,1708840806846,3.048706,14.743042,-39.601135
ugur,1,2018-03-29 22:04:55,1708787862107,1.5487671,12.548828,-39.579773
ugur,1,2018-03-29 22:04:55,1708735977211,0.75683594,13.311768,-37.4588
ugur,1,2018-03-29 22:04:55,1708683746586,0.019836426,12.5442505,-39.582825
ugur,1,2018-03-29 22:04:55,1708627531273,1.5274048,13.302612,-38.16681
ugur,1,2018-03-29 22:04:55,1708574510388,0.7461548,14.041138,-37.46643
ugur,1,2018-03-29 22:04:55,1708518237836,0.0045776367,13.285828,-38.879395
ugur,1,2018-03-29 22:04:55,1708465225909,0.7751465,11.853027,-37.442017
ugur,1,2018-03-29 22:04:55,1708411714607,-0.019836426,13.33313,-36.038208
ugur,1,2018-03-29 22:04:55,1708358110336,0.75683594,13.311768,-37.4588
ugur,1,2018-03-29 22:04:55,1708303051326,0.76904297,11.865234,-36.732483
ugur,1,2018-03-29 22:04:55,1708249500805,0.75683594,13.311768,-37.4588
ugur,1,2018-03-29 22:04:55,1708195259503,1.4892578,14.796448,-36.05194
ugur,1,2018-03-29 22:04:55,1708141633305,0.71868896,14.807129,-35.342407
ugur,1,2018-03-29 22:04:55,1708087194503,1.5106201,14.044189,-37.464905
ugur,1,2018-03-29 22:04:55,1708032807784,-0.019836426,13.33313,-36.038208
ugur,1,2018-03-29 22:04:55,1707979445857,2.2766113,12.623596,-35.316467
ugur,1,2018-03-29 22:04:55,1707924784503,3.8269043,11.875916,-36.72638
ugur,1,2018-03-29 22:04:55,1707869137940,2.3010254,12.576294,-38.157654
ugur,1,2018-03-29 22:04:55,1707814637888,3.8406372,10.429382,-36.001587
ugur,1,2018-03-29 22:04:55,1707763149815,2.3025513,11.152649,-36.010742
ugur,1,2018-03-29 22:04:55,1707708183617,3.062439,11.872864,-36.727905
ugur,1,2018-03-29 22:04:55,1707637587888,2.2735596,13.340759,-36.035156
ugur,1,2018-03-29 22:04:55,1707584888826,3.0319214,13.356018,-35.324097
ugur,1,2018-03-29 22:04:55,1707528974034,1.4770508,14.820862,-34.631348
ugur,1,2018-03-29 22:04:55,1707472216482,0.74157715,12.6297,-34.60846
ugur,1,2018-03-29 22:04:55,1707418291378,1.5182495,12.608337,-36.027527
ugur,1,2018-03-29 22:04:55,1707365185493,2.2476196,14.811707,-35.34088
ugur,1,2018-03-29 22:04:55,1707312553878,3.0441284,13.331604,-36.74469
ugur,1,2018-03-29 22:04:55,1707260582524,0.7324219,13.35907,-34.61609
ugur,1,2018-03-29 22:04:55,1707207487888,3.0639648,10.450745,-34.580994
ugur,1,2018-03-29 22:04:55,1707155786743,1.5197754,11.186218,-33.880615
ugur,1,2018-03-29 22:04:55,1707099738566,0.75683594,11.889648,-35.310364
ugur,1,2018-03-29 22:04:55,1707046069295,3.0319214,13.356018,-35.324097
ugur,1,2018-03-29 22:04:55,1706991817993,2.2827148,12.611389,-36.027527
ugur,1,2018-03-29 22:04:55,1706937157524,2.9937744,14.8498535,-33.207703
ugur,1,2018-03-29 22:04:55,1706883211222,3.022766,12.661743,-33.184814
ugur,1,2018-03-29 22:04:55,1706829744139,4.536438,13.409424,-32.47986
ugur,1,2018-03-29 22:04:55,1706775147212,3.0410767,12.626648,-35.31494
ugur,1,2018-03-29 22:04:55,1706722671014,3.8223267,10.464478,-33.869934
ugur,1,2018-03-29 22:04:55,1706670466587,6.1157227,10.472107,-33.866882
ugur,1,2018-03-29 22:04:55,1706615814035,3.7963867,11.935425,-33.17566
ugur,1,2018-03-29 22:04:55,1706561852941,5.3253174,11.941528,-33.172607
ugur,1,2018-03-29 22:04:55,1706507817680,5.3131104,11.9644165,-31.752014
ugur,1,2018-03-29 22:04:55,1706455154816,4.537964,14.11438,-33.90808
ugur,1,2018-03-29 22:04:55,1706401575649,4.5578003,12.65564,-33.892822
ugur,1,2018-03-29 22:04:55,1706346853097,2.9785156,14.169312,-30.358887
ugur,1,2018-03-29 22:04:55,1706293301847,4.51355,14.161682,-31.066895
ugur,1,2018-03-29 22:04:55,1706241600441,2.9632568,14.909363,-29.655457
ugur,1,2018-03-29 22:04:55,1706189062941,3.7490845,14.160156,-31.06842
ugur,1,2018-03-29 22:04:55,1706132755076,3.7368774,14.183044,-29.646301
ugur,1,2018-03-29 22:04:55,1706079060701,3.7277222,13.490295,-27.508545
ugur,1,2018-03-29 22:04:55,1706025293097,3.7246704,15.629578,-30.37262
ugur,1,2018-03-29 22:04:55,1705972847472,6.0302734,14.190674,-29.64325
ugur,1,2018-03-29 22:04:55,1705919157420,5.9890747,16.403198,-28.24707
ugur,1,2018-03-29 22:04:55,1705866173566,4.4692993,15.6692505,-28.240967
ugur,1,2018-03-29 22:04:55,1705807202316,6.7596436,16.394043,-28.955078
ugur,1,2018-03-29 22:04:55,1705754007629,5.9768677,16.427612,-26.824951
ugur,1,2018-03-29 22:04:55,1705699865493,5.932617,19.355774,-26.14746
ugur,1,2018-03-29 22:04:55,1705646797316,8.270264,16.435242,-26.8219
ugur,1,2018-03-29 22:04:55,1705594226691,7.484436,17.185974,-25.410461
ugur,1,2018-03-29 22:04:55,1705541529400,7.510376,15.715027,-26.104736
ugur,1,2018-03-29 22:04:55,1705488037889,8.26416,16.447449,-26.112366
ugur,1,2018-03-29 22:04:55,1705434239868,9.033203,15.731812,-25.39215
ugur,1,2018-03-29 22:04:55,1705380757993,8.268738,15.730286,-25.393677
ugur,1,2018-03-29 22:04:55,1705327322160,9.77478,17.910767,-26.124573
ugur,1,2018-03-29 22:04:55,1705272939087,6.7382813,15.724182,-25.395203
ugur,1,2018-03-29 22:04:55,1705221109400,7.4905396,17.173767,-26.119995
ugur,1,2018-03-29 22:04:55,1705168382473,8.268738,15.730286,-25.393677
ugur,1,2018-03-29 22:04:55,1705109878566,6.7474365,16.418457,-27.534485
ugur,1,2018-03-29 22:04:55,1705056195598,6.0028076,14.956665,-27.520752
ugur,1,2018-03-29 22:04:55,1705003393723,3.7338257,13.478088,-28.218079
ugur,1,2018-03-29 22:04:55,1704948540441,1.4633179,12.716675,-29.634094
ugur,1,2018-03-29 22:04:55,1704895702056,0.7171631,11.254883,-29.620361
ugur,1,2018-03-29 22:04:55,1704842554973,2.2521973,11.248779,-30.32837
ugur,1,2018-03-29 22:04:55,1704787473983,1.5304565,7.611084,-29.579163
ugur,1,2018-03-29 22:04:55,1704733974816,-2.3269653,9.797668,-28.89862
ugur,1,2018-03-29 22:04:55,1704678821848,-0.79193115,9.791565,-29.606628
ugur,1,2018-03-29 22:04:55,1704624405077,-0.7827759,9.062195,-29.598999
