user,label,collection_datetime,device_timestamp,orient_x,orient_y,orient_z
ugur,1,2018-03-29 22:04:55,1715579431271,335.63126,-6.735115,-10.460821
ugur,1,2018-03-29 22:04:55,1715524610489,335.5157,-6.73922,-10.904365
ugur,1,2018-03-29 22:04:55,1715469214187,335.34982,-7.3368487,-10.087136
ugur,1,2018-03-29 22:04:55,1715416497781,335.43918,-7.206385,-9.672479
ugur,1,2018-03-29 22:04:55,1715362824760,335.6559,-7.047505,-9.219624
ugur,1,2018-03-29 22:04:55,1715310596687,335.77747,-6.8944855,-8.864182
ugur,1,2018-03-29 22:04:55,1715256790594,335.9363,-6.734802,-8.641849
ugur,1,2018-03-29 22:04:55,1715202757833,336.04376,-6.475838,-8.751134
ugur,1,2018-03-29 22:04:55,1715149418354,336.39642,-6.3452477,-8.624514
ugur,1,2018-03-29 22:04:55,1715094882156,336.6117,-6.338772,-8.42035
ugur,1,2018-03-29 22:04:55,1715041455958,336.69275,-6.407243,-8.08256
ugur,1,2018-03-29 22:04:55,1714987813146,336.84143,-6.418476,-7.6370993
ugur,1,2018-03-29 22:04:55,1714935257990,337.0232,-6.1637273,-7.426296
ugur,1,2018-03-29 22:04:55,1714878998094,337.57455,-5.6296015,-7.1128874
ugur,1,2018-03-29 22:04:55,1714824044813,337.5851,-5.44481,-7.241763
ugur,1,2018-03-29 22:04:55,1714768866688,338.03864,-4.7676163,-7.879527
ugur,1,2018-03-29 22:04:55,1714715060959,338.18704,-4.511664,-8.302592
ugur,1,2018-03-29 22:04:55,1714659850125,338.5021,-4.339132,-8.356386
ugur,1,2018-03-29 22:04:55,1714605638927,338.74332,-4.189696,-8.228761
ugur,1,2018-03-29 22:04:55,1714552319969,339.0913,-4.061384,-7.8342204
ugur,1,2018-03-29 22:04:55,1714498982209,339.3334,-3.9714243,-7.00079
ugur,1,2018-03-29 22:04:55,1714446058354,339.59882,-4.3531647,-5.603627
ugur,1,2018-03-29 22:04:55,1714392800177,340.0154,-3.9510264,-4.3747015
ugur,1,2018-03-29 22:04:55,1714338597886,340.43256,-4.2223964,-4.006885
ugur,1,2018-03-29 22:04:55,1714280831480,341.0375,-4.40653,-3.3914158
ugur,1,2018-03-29 22:04:55,1714228289344,341.2215,-4.313529,-3.2654574
ugur,1,2018-03-29 22:04:55,1714173097521,341.37122,-4.6313434,-2.7876139
ugur,1,2018-03-29 22:04:55,1714116806740,341.46686,-5.180822,-2.6916342
ugur,1,2018-03-29 22:04:55,1714063675907,341.46204,-5.7936473,-2.09944
ugur,1,2018-03-29 22:04:55,1714011452573,341.1443,-5.9496403,-1.3905443
ugur,1,2018-03-29 22:04:55,1713957348615,341.12238,-5.953443,-0.4233485
ugur,1,2018-03-29 22:04:55,1713904405542,341.2261,-6.2537246,0.28499493
ugur,1,2018-03-29 22:04:55,1713851186063,341.69003,-6.493267,0.67109764
ugur,1,2018-03-29 22:04:55,1713798260386,342.01993,-6.8739123,0.7027916
ugur,1,2018-03-29 22:04:55,1713746299448,342.18875,-6.7619596,0.4216349
ugur,1,2018-03-29 22:04:55,1713692268251,342.3374,-5.8788285,0.10469171
ugur,1,2018-03-29 22:04:55,1713640219969,342.39172,-5.380856,0.07099802
ugur,1,2018-03-29 22:04:55,1713586284761,342.6545,-5.041674,0.26735508
ugur,1,2018-03-29 22:04:55,1713533245074,342.3637,-5.017654,0.24369404
ugur,1,2018-03-29 22:04:55,1713478682417,341.7606,-4.9389563,0.500072
ugur,1,2018-03-29 22:04:55,1713426015594,342.1322,-5.076549,0.6694713
ugur,1,2018-03-29 22:04:55,1713372977001,342.12305,-6.010302,1.627977
ugur,1,2018-03-29 22:04:55,1713319596324,342.1833,-6.577825,2.5050554
ugur,1,2018-03-29 22:04:55,1713266217782,342.1412,-6.727249,2.6925793
ugur,1,2018-03-29 22:04:55,1713212649136,342.1456,-8.531602,3.8048697
ugur,1,2018-03-29 22:04:55,1713159186480,342.6892,-9.965195,5.7183223
ugur,1,2018-03-29 22:04:55,1713105108772,341.92014,-8.414965,5.682626
ugur,1,2018-03-29 22:04:55,1713052585438,338.99258,-6.7747784,3.766517
ugur,1,2018-03-29 22:04:55,1713000278615,335.88535,-6.181739,4.8801656
ugur,1,2018-03-29 22:04:55,1712945054709,334.2428,-6.9224763,4.6461782
ugur,1,2018-03-29 22:04:55,1712892774032,333.68854,-7.753349,4.3682365
ugur,1,2018-03-29 22:04:55,1712840882470,333.09824,-8.021819,4.318473
ugur,1,2018-03-29 22:04:55,1712788832157,332.94073,-7.9166875,4.602086
ugur,1,2018-03-29 22:04:55,1712736288355,333.31076,-7.7898235,5.807341
ugur,1,2018-03-29 22:04:55,1712684694918,333.538,-7.9048505,6.005614
ugur,1,2018-03-29 22:04:55,1712629814501,334.55936,-7.3879633,4.327437
ugur,1,2018-03-29 22:04:55,1712574340386,336.51486,-5.9144826,3.1497414
ugur,1,2018-03-29 22:04:55,1712522147626,338.5613,-5.2584043,4.87978
ugur,1,2018-03-29 22:04:55,1712470220230,338.70685,-6.0699334,5.363512
ugur,1,2018-03-29 22:04:55,1712417269293,339.22946,-6.6801143,5.850125
ugur,1,2018-03-29 22:04:55,1712364106324,340.47794,-6.4677925,5.7560477
ugur,1,2018-03-29 22:04:55,1712309018512,341.87473,-6.21338,5.808782
ugur,1,2018-03-29 22:04:55,1712256649762,343.61542,-5.9276214,6.6066484
ugur,1,2018-03-29 22:04:55,1712203834189,344.44955,-6.345231,7.1521797
ugur,1,2018-03-29 22:04:55,1712150269605,344.6461,-6.7685633,7.655244
ugur,1,2018-03-29 22:04:55,1712095836741,344.48947,-6.8199234,7.7666793
ugur,1,2018-03-29 22:04:55,1712041184345,344.26498,-6.669931,7.8165956
ugur,1,2018-03-29 22:04:55,1711988002053,343.80444,-6.256403,8.249911
ugur,1,2018-03-29 22:04:55,1711934644970,342.90457,-6.106255,8.504399
ugur,1,2018-03-29 22:04:55,1711880266012,342.41406,-5.340771,7.990933
ugur,1,2018-03-29 22:04:55,1711825967730,342.2391,-5.5503473,8.726482
ugur,1,2018-03-29 22:04:55,1711773906793,341.13342,-7.112173,8.028647
ugur,1,2018-03-29 22:04:55,1711721395491,340.9132,-7.409891,7.988241
ugur,1,2018-03-29 22:04:55,1711668242939,340.717,-7.123697,7.1702733
ugur,1,2018-03-29 22:04:55,1711614809918,340.3471,-7.409013,6.519409
ugur,1,2018-03-29 22:04:55,1711561841793,340.06018,-7.9297686,5.9808183
ugur,1,2018-03-29 22:04:55,1711507997835,339.9093,-8.242924,5.2331367
